Company name,Website URL,Street Address,City,State/Region,Postal Code,Industry,Wholesale Customer
Horseshoe Health & Medicine,horseshoehealth.com,600 Market Street,Horseshoe Bend,AR,72512,"Health, Wellness and Fitness",Yes
Hopf Chiropractic,,7069 W 300 N,Jasper,IN,47546,"Health, Wellness and Fitness",Yes
Hwy 20 Feed,highway20feed.com,31800 State Highway 20,Fort Bragg,CA,95437,Retail,Yes
HRH Tack & Supplies LLC,,9764 Gravel Hill Road,Edison,NJ,8837,Retail,Yes
Grifs Western,grifswestern.com,6211 Orange Drive,Davie,FL,33314,Retail,Yes
Derek's Goods,Dereks-Goods.com,6548 West 49th Street,Mission,KS,66202,Retail,Yes
CPC Animal Health,cpcanimalhealth.com,680 Edgefield Rd,Cowpens,SC,29330,Retail,Yes
Burrell Co Enterprises,quicktransportsolutions.com,6984 Elingham Cir,Alexandria,VA,22315,Retail,Yes
J Sullivan Holdings Inc,,1092 St Georges Ave,Rahway,NJ,7065,Retail,Yes
Bucephalia Brothers LLC,,1006 Fir Ave,Oakes,ND,58474,Retail,Yes
Bowden Leather Co. LLC,bowdenleather.com,8227 DONIPHAN DR,Vinton,TX,79821,Retail,Yes
bedfordtack.com,bedfordtack.com,148 Edd Joyce Road,Bell Buckle,TN,37020,Retail,Yes
Valencia Sport Saddlery,valenciasaddlery.com,11355 Foothill Boulevard,Los Angeles,CA,91342,Retail,Yes
Ropes and More,,2654 Center St,Deer Park,TX,77536,Retail,Yes
Reynold's Chiropractic,,430 Wind Ridge Trail,Berne,IN,46711,"Health, Wellness and Fitness",Yes
Muleshoe Vet Supply,muleshoevetsupply.com,1430 US Hwy 84,Muleshoe,TX,79347,Veterinary,Yes
MILLIRON TACK AND FEED,millironmt.com,32069 CUTTING HORSE LN,POLSON,MT,59860,Retail,Yes
Benzinger on Health/Indy Health and Wellness Center,benzingeronhealth.com,11495 North Pennsylvania Street,Carmel,IN,46032,"Health, Wellness and Fitness",Yes
Greenville Veterinary Clinic,,305 N Ohio St,Greenville,OH,45331,Veterinary,Yes
"Gibson Chiropractic, PA",thegibsoncenter.com,93 Colt Square Drive,Fayetteville,AR,72703,"Health, Wellness and Fitness",Yes
Family Health,,118 Marcus Garvey Blvd,Brooklyn,NY,11206,Retail,Yes
E-Motion Therapy Massage Recliners,,8208 E Granada Rd,Scottsdale,AZ,85257,Retail,Yes
Creighton's Town and Country,,1625 S Avenue D,Portales,NM,88130,Retail,Yes
Chimpanzee Sanctuary Northwest,chimpsnw.org,305 East 1st Street,Cle Elum,WA,98922,Retail,Yes
West Main Animal Hospital,westmainanimalhospital.com,2216 West Main Street,Alhambra,CA,91801,Veterinary,Yes
Andrew Smith DC,,12300 Alternate AIA,Palm Beach Gardens,FL,33410,"Health, Wellness and Fitness",Yes
NVA,nva.com,1 Baxter Way,Westlake Village,CA,91362,Veterinary,Yes
Holistic Veterinary Center,calabasasanimalclinic.com,4937 Las Virgenes Road,Calabasas,CA,91302,Veterinary,Yes
Freeman Milling LLC - DBA Mize Supply,,PO Box 7,Mize,MS,39116,Retail,Yes
All Animals Veterinary Hospital,allanimals.info,2161 Highway 48 North,Dickson,TN,37055,Luxury Goods & Jewelry,Yes
WILLOUGHBY VET CLINIC,willoughbyveterinaryhospital.com,4685 WILLOUGHBY RD,Holt,MI,48842,Veterinary,Yes
Western Horseman,westernhorseman.com,2112 Montgomery Street,Fort Worth,TX,76107,Retail,Yes
Tuckerton Chiropractic,,1 Leifried Lane,Tuckerton,NJ,8087,"Health, Wellness and Fitness",Yes
Triple R Tack Inc,,625 Century Rd,Rapid City,SD,57701,Retail,Yes
Texas Tails Pet Resort & Pawtique,texas-tails.com,4500 Nichols,Bay City,TX,79407,Retail,Yes
Tackroom Products,tackroom-products.squarespace.com,253 Hempstead Tpke,Elmont,NY,11003,Retail,Yes
Seland Chiropractic,selandchiropractic.com,7350 Village Square Lane,Fishers,IN,46038,"Health, Wellness and Fitness",Yes
Saving Sunny,savingsunnyinc.org,8803 STONY FIEL,Louisville,KY,40218,Retail,Yes
Rafieh Pharmacy,rafiehpharmacy.com,70 Avenue A,New York,NY,10009,Retail,Yes
Paul Taylor Saddle Co,paultaylorsaddlecompany.com,7849 U.S. 377,Pilot Point,TX,76258,Retail,Yes
Mock Brothers Saddlery,mockbros.com,17441 West 9th Street,Sand Springs,OK,74063,Retail,Yes
Health Direct NY,healthdirectny.com,326 Roebling St,Brooklyn,NY,11211,Retail,Yes
Health Direct,healthyglee.com,326 Roebling St,Brooklyn,NY,11211,Retail,Yes
Hassinger Equine,hassingerequineservice.com,450 Addor Road,Aberdeen,NC,28315,Veterinary,Yes
Grizzly Mountain Blanket Service,,16470 SW hwy 126,Powell Butte,OR,97753,Retail,Yes
Robin Ridge Farm,robinridgeshowpigs.com,1281 W Co Rd 750S,Clay City,IN,47841,Retail,Yes
Colorado Animal Health,coloradoanimalhealth.com,3530 Stagecoach Rd,Longmont,CO,80504,Retail,Yes
Barrett Pharmacy,ruggedwest.com,145 N Main St,Watford City,ND,58854,"Health, Wellness and Fitness",Yes
Barrett Pharmacy,,145 N Main St,Watford City,CO,58854,Retail,Yes
Alternative Health Management,holistichoustondoctors.com,12900 QUEENSBURY LN,Houston,TX,77079,"Health, Wellness and Fitness",Yes
"ALL ANIMALS VETERINARY HOSPITAL, PLC",aavh-wbac.com,2161 HWY 48 N,Dickson,TN,37055,Veterinary,Yes
Agate Bay Animal Hospital,agatebayanimalhospital.com,580 National Avenue,Tahoe Vista,CA,96148,Veterinary,Yes
Kentucky Equine Hospital,Kentuckyequinehospital.com,9460 Shelbyville Rd ,Simpsonville,KY,40067,Veterinary,Yes
Countryside Animal Hospital,kycountrysidevet.com,2410 Kentucky 53,La Grange,KY,40031,Hospital & Health Care,Yes
"Beasley Equine Clinic, LLC",beasleyequineclinic.com,4600 US Hwy 45 N,Eldorado,Illinois,62930,Veterinary,Yes
Total Pet Care,totalpetcareny.com,780 Broadway Avenue,Holbrook,NY,11741,Retail,Yes
Central Vet Hospital,centralvet.net,300 Rushing Drive,Herrin,IL,62948,Veterinary,Yes
Next Level Sports Nutrition,nextlevelsn.com,2115 S Hurstbourne Pkwy.,Louisville,KY,40220,Retail,Yes
"Red Barn Feed and Supply, Inc.",redbarn1.com,12948 Okeechobee Boulevard,Loxahatchee,FL,33470,Retail,Yes
Michael V Tran,eventspluscorp.com,240 West Caldwell Ave,Visalia,CA,93277,Retail,Yes
Kent Nutrition Group,kentww.com,749 PO Box,Muscatine,IA,52761,Retail,Yes
Horseman's Supply,horsemansupply.com,2020 Fort Worth Hwy,Weatherford,TX,76086,Retail,Yes
Russell Feed & Supply,russellfeed.com,1817 U.S. 287,Decatur,TX,76234,Retail,Yes
Southern Veterinary Partners,svp.vet,2204 Lakeshore Drive,Birmingham,AL,35209,Veterinary,Yes
Pawlished Pet Supplies,pawlishedpetsupplies.com,157 Plaza Rd SW,Wise,Virginia,24293,Retail,Yes
Inland Vet Supply,inlandvetsupply.com,1237 6th Street,Norco,CA,92860,Veterinary,Yes
Lettleiki Icelandics,lettleikiicelandics.com,6105 Eminence Pike,Eminence,KY,40019,Farming,Yes
Balduf Cattle And Feed,,7407 County HIghway 134,Nevada,OH,44849,Retail,Yes
S+A Pet Supply,https://www.sa-pet-supply.com/,107 Cemetery Rd,Blairstown,NJ,7825,Retail,Yes
Elton Feed & Farm Supply,,6330 Alysworth Rd,Elton,LA,70532,Retail,Yes
Santa Cruz Biotechnology Inc,scbt.com,3600 Dry Creek Rd,Dallas,TX,75220,Retail,Yes
Skylight Supply ,,2704 Ridgewood Rd.,Goshen,KY,40031,Retail,Yes
Quarter Horse Ranch,quarter-horse-ranch.site123.me,8939 South Sepulveda Boulevard,Mt. View,HI,96771,Farming,Yes
Stablegear Tack,stablegeartack.com,18833 Hwy V V,Wentworth,Missouri,64873,Retail,Yes
Middle Path Acupuncture,middlepathacupuncture.net,502 North Anderson Street,Ellensburg,WA,98926,"Health, Wellness and Fitness",Yes
Klaes Chris J DC,klaesclinic.com,1400 West 2nd Street,Seymour,IN,47274,"Health, Wellness and Fitness",Yes
JT3Enterprises,jt3enterprises.com,2874 Veterans Drive,Pekin,IL,,Retail,Yes
Waynesville Veterinary Hospital,waynesvilleveterinaryhospital.com,7477 Township Line Road,Waynesville,OH,45068,Veterinary,Yes
Winchester Veterinary Clinic,winchestervetclinic.com,229 Cemetery Road,Canal Winchester,OH,43110,Veterinary,Yes
Gospel Wellness,gospelwellness.com,14114 Ave W,Lubbock,TX,79423,"Health, Wellness and Fitness",Yes
"Bottom Line Integrated Bodywork, LLC",Bottom-line-equine.com,4016 Halls Hill Rd.,Crestwood,KY,40014,"Health, Wellness and Fitness",Yes
Monument Spring LLC,monumentspring.com,15954 Jackson Creek Pkwy,Monument,CO,80132,Wholesale,Yes
Mark Farm Supply Inc.,https://www.markfarmsupply.com/,3135 Orange Rd.,Niles,MI,49120,Retail,Yes
James Taylor Sales,jamestaylorsales.com,25352 Shadywood,Laguna Niguel,CA,92677,Retail,Yes
Lawrence R. Smith D.C,,210 Woodard Valley Lane,Mars Hills,NC,28754,"Health, Wellness and Fitness",Yes
Lazy K Tack,,2828 Emerald Downs Drive,Auburn,WA,98071,Retail,Yes
Gypsy Treasure,,13221 Saddle Ridge Rd,Lakeside,CA,92040,Retail,Yes
Beneficial In Home Therapies,,21911 Arlene Drive,Magnolia,TX,78355,Retail,Yes
Back &  Body Clinic,,4826 North Meadow Ridge,McKinney,TX,75070,"Health, Wellness and Fitness",Yes
Stoughton Vet Services,,915 Mildred Ave,Edgerton,WI,53534,Veterinary,Yes
Pinkston's Turf Goods Inc,pinkstons.com,1098 West High Street,Lexington,KY,40508,Retail,Yes
WIlliam Braudt DC,,2306 7th Avenue,Canyon,TX,79015,"Health, Wellness and Fitness",Yes
Humane Society of Dover,,1619 US Hwy 79,Dover,TN,37058,Retail,Yes
Murfreesboro Chiropractic,,1535 W. Northfield Blvd,Murfreesboro,TN,37129,"Health, Wellness and Fitness",Yes
Simi Valley Animal Hospital,simivet.com,1317 East Los Angeles Avenue,Simi Valley,CA,93065,Veterinary,Yes
Brady Chiropractic & Wellness Center,bradywellness.com,3622 Frankfort Avenue,Louisville,KY,40207,"Health, Wellness and Fitness",Yes
Pain and Performance Solutions,,9900 Shelbyville RD suite 1A,Louisville,KY,40223,"Health, Wellness and Fitness",Yes
AAA Feed & Tack,aaafeed.com,11302 Stable Gate Lane,Tampa,FL,33626,Retail,Yes
Pain and Performance Solutions,painandperformancesolutions.org,102 Daventry Ln,Louisville,KY,40223,"Health, Wellness and Fitness",Yes
JPC Equestrian/Breeches.com,jpcequestrian.com,100 Hillside Dr,Drums,PA,18222,Retail,Yes
Country Gal's Market,https://countrygalsmarket.business.site/#summary,109 W Benton Suite A,Devine,TX,78016,Retail,Yes
IAS - Integrative Animal Solutions,iastn.com,7058 Hwy 127 N,Crossville,TN,38571,Veterinary,Yes
CRS Equestrian ,www.crsequine.com,3287 LaGrange Rd,,KY,40068,Farming,Yes
Animal Medical Center of Middletown ,bestvets.com,111 Huntington Ridge Drive,Louisville,KY,40223,Veterinary,Yes
Ocala Breeders Feed & Supply,obfs.com,6855 N Us Highway 27,Ocala,FL,34482,Retail,Yes
Country Lane Tack Store,countrylanetack.com,1665 Southwest Highway 484,Ocala,FL,34473,Retail,Yes
Funny Farm Nutrition,,4170 US Route 31,Franklin,IN,46131,Retail,Yes
Black Cat Ranch PEMF,,350 Beal Rd,Robbins,NC,27325,Retail,Yes
"Judy Reens, DVM",,960 Orchard Ct.,Pilot Hill,CA,95664,Veterinary,Yes
The Mill in Dresden / Dresden Feed,,16 E 7th street,Dresden,OH,43821,Retail,Yes
The Feed Store,,5810 Jonestown Rd,Harrisburg,PA,17112,Retail,Yes
Lomita Feed Inc.,,24403 Narbonne Avenue,Lomita,CA,90717,Retail,Yes
Douglas Chiropractic,,130 Hospital Dr,Camden,TN,38320,"Health, Wellness and Fitness",Yes
Crossroads Animal Hospital,,4210 Poplar Level Rd,Louisville,KY,40213,Veterinary,Yes
The Stone Institute,www.thestoneinstitute.com,2849 N Collierville Arlington Rd,Eads,TN,38028,Retail,Yes
Rainbow Blossom Springhurst,,3608 Springhurst Blvd,Louisville,KY,40241,Retail,Yes
Animal Care Clinic,,89 Central Lane,Parsons,TN,38363,Veterinary,Yes
Seacliff Tack Shop,,PO Box 71292,Richmond,CA,94807,Non-Profit Organization Management,Yes
A. Ed Cohen,,901 S Federal Hwy,Hallandale,FL,33009,Retail,Yes
Debbie Freeman,,107539 South 4550,Vian,OK,74962,Retail,Yes
Westport Chiropractic & Rehab,,4169 Westport Rd #107,Louisville,KY,40207,"Health, Wellness and Fitness",Yes
Tennessee Equine Hospital,tnequinehospital.com,1508 Thompson's Station Road West,Thompson's Station,TN,37179,Hospital & Health Care,Yes
"La Casa Saddlery, LLC.",lacasasaddlery.com,1312 N Perkins St #1,Appleton,WI,54914,Retail,Yes
Baum Equine Clinic,,1220 Union St,Shelbyville,TN,37160,Veterinary,Yes
Rood & Riddle Veterinary Pharmacy,rrvp.com,2150 Georgetown Road,Lexington,KY,40511,Veterinary,Yes
Country Animal Hospital,www.countryanimalvetlouisville.com,1707 Watterson Trail,Louisville,KY,40299,Veterinary,Yes
Northridge Chiropractic,,2206 Lafayette RD,Crawfordsvillle,IN,47933,"Health, Wellness and Fitness",Yes
All Creatures Great and Small,,1020 Industry Rd #2,Lexington,KY,40505,Veterinary,Yes
Cat Adoption Team of Stewart County,,1619 Hwy 79,Dover,TN,37058,Retail,Yes
Canyon Chiropractic,,2306 7th Ave,Canyon,TX,79015,"Health, Wellness and Fitness",Yes
Corro,corroshop.com,2650 Manana Dr,Dallas,TX,75220,Retail,Yes
David Yoder Wellness Center,,317 N El Camino Real Suite 201,Encinitas,CA,92024,"Health, Wellness and Fitness",Yes
"TC Sales, LLC",,5579 Hwy 67,Ruston,LA,71270,Retail,Yes
Andrea Kuperschmid DVM,,26 Downs Rd,,NY,11743,Veterinary,Yes
Texas Tech Therapeutic Riding Center,,5712 CR 1500,Lubbock,TX,79407,Retail,Yes
Custom Care Compounding Pharmacy,,124 Market Place,San Roman,CA,94583,Retail,Yes
Needs4Steeds,,97333 Colonel Jordan Rd,Hermiston,OR,97838,Retail,Yes
Trinity Nutrition Center,,92 Commerce Dr,Wyomissing,PA,19610,Retail,Yes
Haraway Veterinary Clinic,,1401 W Redwood,Sallisaw,OK,74955,Veterinary,Yes
South Meadow Animal Clinic PC,southmeadowanimalclinic.com,3020 Sycamore School Road,Fort Worth,TX,76133,Veterinary,Yes
Bay City Farm and Ranch Supply,,920 Highway 60 N,Bay City,TX,77414,Retail,Yes
Woodford Feed,,498 Lexington RD,Versailles,KY,40383,Retail,Yes
Horse Cents,,199 Markham,Versailles,KY,40383,Retail,Yes
S & S Farm Supply,,654 Mary Richardson Rd,Wray,GA,31798,Retail,Yes
Y City Feed And Supply,,1948 E Pike,Zanesville,OH,43701,Retail,Yes
Country Village Animal Clinic,,21020  Highway 2,Centerville,Iowa,52544,Veterinary,Yes
Jeffreys Drug Store,jeffreysdrugstore.com,1 North Central Avenue,Canonsburg,PA,15317,Retail,Yes
"Mary Brown, DVM",,15248 88th Ave SE,Yelm,WA,98597,Veterinary,Yes
Stoltzfus Feed and Supply,stoltzfusfeed.com,80 Pennsylvania 41,Gap,PA,17527,Retail,Yes
Ah HA Wellness Spa,,5159 N Thompson Trail,Merecer,WI,54547,"Health, Wellness and Fitness",Yes
Minard Movement Chiropractic,,12110 Ashford Dr Ste 200,Yukon,OK,73099,"Health, Wellness and Fitness",Yes
Feed Right Pet Food Inc,,10050 West Bell Rd Ste #49,Sun City,AZ,85351,Retail,Yes
Shuck Fence,shuckfence.com,704 Mount Eden Road,Shelbyville,KY,40065,Retail,Yes
Local Chiropractic Co,,931 IH  35 Business  Ste #200,New Braunfels,TX,78130,"Health, Wellness and Fitness",Yes
TBM Genetics,,9632 West 350 North,Otterbein,Indiana,47970,Retail,Yes
Shafer Farms,showstocktherapies.com,33134 220th St,Grimes,IA,50111,Farming,Yes
Winners Circle,wcircle.com,603 Evans Saint Po Box 926,Shelbyville,TN,37162,Retail,Yes
The Hitching Post Tack Shop,hitchingposttack.om,11403Main St #190,Middletown,KY,40243,Retail,Yes
Dr Mary Traverse DC,,8133 Mesa DR # 103,Austin,TX,78759,"Health, Wellness and Fitness",Yes
Country Critters,,5985 N Dixie Hwy,Elizabethtown,KY,42702,Retail,Yes
Organic Emporium,,2918 N Laurent St,Victoria,TX,77901,Retail,Yes
Sims Feed & Supply,www.simsfeedandsupply.com,16001 145th Trail,Sweet Springs,MO,65351,Retail,Yes
Unity Equine and Livestock Services,,1158 CR 23.5,Brighton,CO,80603,Retail,Yes
Veterinary Alternatives,www.veterinaryalternatives.com,21 E. Ridgeway,Centerville,OH,45459,Veterinary,Yes
Orchard Country Store,orchardcountrystore.com,1007 E State Rd 42,Mooresville,IN,46158,Retail,Yes
Wolff Chiropractic Clinic,http://www.wolffchiroclinic.com/,2150 Ed F Davis Rd,Durant,OK,74701,"Health, Wellness and Fitness",Yes
Wishing You Well,,12612 Nacogdoches RD,San Antonio,TX,78217,Retail,Yes
Tin Woof Inn,https://tinwoofinn.com/,110 Northgate Dr,Frankfort,KY,40601,Retail,Yes
Dr Ann Lindahl,,4150 Belair Lane,Naples,FL,34103,"Health, Wellness and Fitness",Yes
Integrative Age Management Medicine,,3703 Taylorsville Rd,Louisville,KY,40220,"Health, Wellness and Fitness",Yes
Elevate Health & Wellness,elevategreenville.com,700 Squires Point Suite B,Duncan,SC,29334,Retail,Yes
"Donovan Boykin, DC",,350 W KIOWA Ave,Elizabeth,CO,80107,"Health, Wellness and Fitness",Yes
"Richard Bailey, DC",,15223 Herriman Blvd,Noblesville,IN,46060,Retail,Yes
Stages Of Life Medical,suffernomore.com,1917 Boothe Circle,Longwood,FL,32750,"Health, Wellness and Fitness",Yes
Rainbow Blossom New Albany,,3738 Lexington Rd.,New Albany,IN,47150,Retail,Yes
Rainbow Blossom St Mathews,,3738 Lexington Rd.,St Matthews,KY,40207,Retail,Yes
Rainbow Blossom Highlands,https://www.rainbowblossom.com/,3046 Bardstown Rd,Louisville,KY,40207,Retail,Yes
Makin Waves PEMF,,10711 Watson Rd.,Hanover,MI,49241,Retail,Yes
L2 Feed Supply,,106 Eagle Ave,Kremmling,CO,80459,Veterinary,Yes
Jensen Enterprises,,810 Blake St.,Enumclaw,WA,98022,Retail,Yes
Institute For Integrative Medicine,,205 Townepark Circle,Louisville,KY,40243,"Health, Wellness and Fitness",Yes
Harmon Family Chiropractic,,2602 Newton St.,Jasper,IN,47546,"Health, Wellness and Fitness",Yes
Maximus The Gym,ellensburggym.com,427 N Main St,Ellensburg,WA,98926,"Health, Wellness and Fitness",Yes
NuMedX,,313 N Main St.,Punxsatawney,PA,15767,"Health, Wellness and Fitness",Yes
D & R Rescue,,21336 East Terre Haute Rd,Paris,IL,61944,Retail,Yes
"Birch Lane Therapeutics, Inc",,7373 Timm Rd,Vacaville,CA,95688,Retail,Yes
SLS Performance PEMF,,3175 Autry Highway,Roseboro,NC,28382,Retail,Yes
"Southeast Feed,LLC",,2211 NE Lincoln RD,Idabel,OK,74745,Retail,Yes
Zen Horse Saddlery,zenhorsesaddlery.com,311 N College St Apt 52,Woodland,CA,95695,Retail,Yes
Ironheadz Sports Nutrition,,500 WInchester Ave # 430A,Ashland,KY,41101,Retail,Yes
Feeders Supply Ft. Mitchell,,2180 Dixie Highway,Ft. Mitchell,KY,41017,Retail,Yes
"Rooted Healing, LLC",,7101 Top Run Way,Star,ID,83669,Retail,Yes
Scroggins Animal Hospital,,1259 S Eastern Ave,Moore,OK,73160,Veterinary,Yes
Park Equine Hospital,www.parkequinehospital.com,3550 Lexington RD,Versailles,KY,40383,Veterinary,Yes
Country Veterinary Clinic,cvcmi.com,2750 N. Stiles RD.,Ludington,MI,49431,Veterinary,Yes
Essence Equine,,517 Road 2,Shickley,NE,68436,Retail,Yes
Advanced Performance Chiropractic & Massage LLC,,1942 B Old US Highway 66,Edgewood,NM,87015,"Health, Wellness and Fitness",Yes
Downtown Apothecary,,22820 Cougar Street,Perris,CA,92570,Retail,Yes
Burkmann Feeds,,1111 Perryville Rd,Danville,KY,40422,Retail,Yes
Hoof N Paw Pet Supplies,,841 Eastern ByPass,Richmond,KY,40475,Retail,Yes
Bluegrass Family Chiro,,434 W Walnut St.,Danville,KY,40484,"Health, Wellness and Fitness",Yes
Kilgore Veterinarian Associates,,3403 S Henderson Blvd,Kilgore,TX,75662,Veterinary,Yes
Central Valley Ag,,PO BOX 429,York,NE,68467,Retail,Yes
National Ropers Supply,nrsworld.com,4650 U.S. 287,Decatur,TX,76234,Sporting Goods,Yes
Maverick Distributors,,14951 E 112th Ave,Brighton,CO,80603,Retail,Yes
Healthy pets,healthypets.com,34501 7th St,Union City,CA,94587,Retail,Yes
Ferguson Tack Store,fergusontack.com,14008 East Tucker Rd,Ocean Springs,MS,39565,Retail,Yes
Tomlinson's Feed and Pets ,tomlinsons.com,2303 Ranch Road 620 S #180,Austin,TX,78751,Retail,Yes
Teskey's Saddle Shop,teskeys.com,3001 Interstate 20,Weatherford,TX,76087,Retail,Yes
Cooper's Country Store,cooperscountrystore.com,861 South Graham Avenue,Stephenville,TX,76401,Retail,Yes
Rainbow Blossom - Middletown,,12232 Shelbyville Road,Louisville,KY,40243,Retail,Yes
Valley Vet,valleyvet.com,1118 Pony Express Highway,Marysville,KS,66508,Retail,Yes
Rocky Lane Tibbs,,26986 Bad River Rd,Ft. Pierre,SD,57532,Retail,Yes
South Texas Tack,https://www.southtexastack.com/,4765 Highway 290 East,Brenham,TX,77833,Retail,Yes
Smart Pak Equine,www.smartpakequine.com,40 Grissom Rd,Plymouth,MA,2360,Retail,Yes
Santa Cruz Biotechnology,www.scbt.com,10444 North Stemmons Freeway,Santa Cruz,CA,95060,Retail,Yes
Raining Sun Ranch/Jodi MacDonald,,12453 N Antelope Run Rd,Prescott,AZ,86305,Farming,Yes
LeClair Cattle Company,,7528 Hwy 287,Lander,WY,82520,Farming,Yes
Gem Lamb,,215 Trenckmann Rd,Sealy,TX,77474,Retail,Yes
Hitchin Post Trailer & Tractor Sales,,39285 US Hwy 24,Lake George,CO,80827,Retail,Yes
Jeff Haylett,,1609 Graveyard Point,Homedale,ID,83628,Retail,Yes
Martin Harrison,,1021 Rambling Oaks Ln,Weatherford,TX,76088,Retail,Yes
For Goodness Sake,,1306 Common St.,New Braunfels,TX,78130,Retail,Yes
The Feed Bucket,www.feedbucketkentucky.com,6791 Shelbyville Rd.,SImpsonville,KY,40067,Retail,Yes
Farmvet,farmvet.com,549 Mount Hope Street,Franklin,TN,37069,Retail,Yes
Dynamic Thermographics & Equine Therapeutics,,1 Crestwood Dr,Kimball,NE,69145,Retail,Yes
Double C Bar Paints & Quarter Horses,,4443 Gardner Ln,Florence,MT,59833,Farming,Yes
D-D Feed,https://www.ddfeed.com,16915 Farm to Market 2920,Tomball,TX,77377,Retail,Yes
Doris Boyd,,5324 Sonora Way,Carmichael,CA,95608,Retail,Yes
Bellflower Feed Mill,,100 N Latcha St,Bellflower,IL,61724,Retail,Yes
American K9 Country,,336 Route 101,Amherst,NH,3031,Retail,Yes
Ag Plus,agplusinc.com,401 North Main Street,South Whitley,IN,46787,Retail,Yes
JockeyTack,jockeytack.com,901 South Federal Highway,Hallandale Beach,FL,33008,Retail,Yes
Coopers Old Time Pit BBQ,www.coopersbbqllano.com,604 West Young Street,Llano,TX,78643,Retail,Yes
Tommy's Feed Store,,1821 Industrial Dr.,Ruston,LA,71270,Retail,Yes
Three Dog Bakery,,7212 Post Oak Dr.,North Richland Hills,TX,76182,Retail,Yes
Thar's Feed & Ranch,https://horse-tack-stores.cmac.ws/thars-feed-ranch-supply-inc/891/,100 S. Burma Ave,Gillette,WY,82716,Retail,Yes
Stroh Farm Supply,,4105 S 1180th E,Stroh,IN,46789,Retail,Yes
Sue's Pawn & Tack,,200 E. Sevier,Benton,AR,72015,Retail,Yes
S & S Horseshoeing,,560 US Hwy 87 S,Cuero,TX,77954,Retail,Yes
Give A Chance Boutique,,711 Main St,Shelbyville,KY,40066,Retail,Yes
Rafter Eleven Tack & Supply,,9 Lariat Dr.,Parkman,WY,82838,Retail,Yes
Paul's Vet Supply,,2005 SE Main St.,Roswell,NM,88203,Retail,Yes
Nelson Hardware & Supplies,,115 S Main St,Cave Springs,AR,72718,Retail,Yes
Natural Health Center LLC,,62114 Atwood St.,District Heights,MD,20748,"Health, Wellness and Fitness",Yes
Old Trail Supply,,813 Old Trail Rd,Port Trevorton,PA,17864,Retail,Yes
The Madl Company,,350 Kaw Lane East,Lake Quivira,KS,66217,Retail,Yes
Lucky Run Ranch,,2430 S. Meridian Rd.,Kuna,ID,83634,Farming,Yes
KBC International,kbchorsesupplies.com,140 Venture Court,Lexington,KY,40511,Retail,Yes
Health Partners Inc.,,3085 N. Cole Rd. ,Boise,ID,83704,"Health, Wellness and Fitness",Yes
Health First,,8400 E Prentice Ave,Greenwood Village,CO,80111,"Health, Wellness and Fitness",Yes
Hamby Haven ShowPigs,hambyhavenshowpigs.com,13503 National Pike,Clear Spring,MD,21722,Farming,Yes
Gould Vet Clinic,,1927 Hayes Ave,Meeteetse,WY,82433,Veterinary,Yes
"Getty Equine Nutrition, LLC",gettyequinenutrition.com,3828 Blain Highway,Waverly,OH,45690,Retail,Yes
Audra Fuller,,427 N Main St.,Ellensburg,WA,98926,"Health, Wellness and Fitness",Yes
Rainbow Blossom Inc,rainbowblossom.com,3738 Lexington Rd,Louisville,KY,40207,Retail,Yes
East Shore Animal Hospital,,26285 East Shore Dr,Edwardsburg,MI,49112,Veterinary,Yes
Complete Feed Service,completefeedservice.com,3 Natural Way,Sharon,WI,53585,Retail,Yes
Callahan County Farmer's Co-Op,,200 East 1st St,Baird,TX,79504,Retail,Yes
Affinity Corporate Service,,5413 Pawnee Trail,Louisville,KY,40207,Retail,Yes
Willamette Valley Equine Veterinary Services,willamettevalleyequine.com,9130 Southwest Pioneer Court,Wilsonville,OR,97070,Veterinary,Yes
Timbercreek Acres,timbercreekacres.net,1499 Jongoil Meadow Dr.,Cincinnati,OH,,Retail,Yes
Wagner's Pharmacy,wagnerspharmacy.com,3113 South 4th Street,Louisville,KY,40214,Retail,Yes
Victoria Farm & Ranch ,victoriafarmeq.com,2501 Callis St,Victoria,TX,77901,Retail,Yes
Valkyre Stud,valkyrestud.com,2717 Long Lick Pike,Georgetown,KY,40324,Veterinary,Yes
Seminole Feed,seminolefeed.com,335 Northeast Watula Avenue,Ocala,FL,34470,Retail,Yes
No Junk Julie's,,281 Coolers Dairy Rd.,Walterboro,SC,29488,Retail,Yes
Mission Village Animal Clinic,missionvillageanimalclinic.com,16843 Q Street,Omaha,NE,68135,Hospital & Health Care,Yes
"Mistified Massage, LLC",,12907 Bighorn Rd,Whitewood,SD,57793,Retail,Yes
"Marta Lohman, DVM",,2511 Mardell Way,Mountain View,CA,94043,Veterinary,Yes
Leanin' Pole Arena,leaninpolearena.com,749 North Dakota 22,Killdeer,ND,58640,Retail,Yes
Active Health TN,activehealthtn.com,3012 CENTRE OAK WAY,Germantown,TN,38138,Retail,Yes
"Hopedale Agri Center,",hacfeeds.com,615 Illinois 122,Hopedale,IL,61747,Retail,Yes
Green Jay Sports Medicine,greenjayhealth.com,204 Penelope Street,Belton,TX,76513,"Health, Wellness and Fitness",Yes
Fallon Farrier Supply,fallonfarriersupply.wordpress.com,60 29th Street,Fallon,NV,89406,Retail,Yes
Excel Equine Feeds,excelequinefeeds.com,165 N Clay St.,Shelbvyille,KY,40065,Retail,Yes
